name,conference,power_conf,norm_win_pct,norm_net_rank,norm_trank,norm_barthag,norm_adj_oe,norm_adj_de,norm_adj_margin,norm_adj_tempo,norm_sos,norm_elite_sos,norm_efg_pct,norm_efg_d,norm_tov_pct,norm_tov_d,norm_orb_pct,norm_drb_pct,norm_ft_rate,norm_ft_rate_d,norm_two_pt_pct,norm_three_pt_pct,norm_three_pt_d,norm_blk_pct,norm_stl_pct,norm_avg_hgt,norm_experience,norm_conf_wins,norm_conf_losses,norm_wins,norm_losses,norm_prob_r64,norm_prob_r32,norm_prob_s16,norm_prob_e8,norm_prob_f4,norm_prob_championship,norm_prob_champion,target_seed,target_in_tourney,target_prob_champion,target_region,conf_Selection_Sunday,region_East,region_West,region_South,region_Midwest,region_Play_in,region_—
Duke,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068966,0.0,0.0,0.962786,0.915441,0.829268,0.863946,0.934211,0.755102,0.755102,1,1,0.0185,East,1,1,0,0,0,0,0
Virginia,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137931,0.0,0.0,0.939885,0.889706,0.829268,0.85034,0.723684,0.530612,0.530612,1,1,0.013,West,1,0,1,0,0,0,0
Miami (FL),Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206897,0.0,0.0,0.954198,0.957721,0.857143,0.768707,0.802632,0.612245,0.612245,1,1,0.015,South,1,0,0,1,0,0,0
North Carolina,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206897,0.0,0.0,0.953244,0.933824,0.905923,0.911565,0.881579,0.693878,0.693878,1,1,0.017,Midwest,1,0,0,0,1,0,0
Clemson,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310345,0.0,0.0,0.945611,0.935662,0.790941,0.70068,0.671053,0.510204,0.510204,2,1,0.0125,East,1,1,0,0,0,0,0
Louisville,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310345,0.0,0.0,0.968511,0.909926,0.926829,0.931973,0.868421,0.795918,0.795918,2,1,0.0195,West,1,0,1,0,0,0,0
NC State,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37931,0.0,0.0,0.954198,0.941176,0.87108,0.823129,0.973684,0.857143,0.857143,2,1,0.021,South,1,0,0,1,0,0,0
California,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310345,0.0,0.0,0.955153,0.908088,0.832753,0.721088,0.763158,0.428571,0.428571,2,1,0.0105,Midwest,1,0,0,0,1,0,0
Florida St.,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482759,0.0,0.0,0.987595,0.961397,0.902439,0.829932,0.947368,0.755102,0.755102,3,1,0.0185,East,1,1,0,0,0,0,0
SMU,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37931,0.0,0.0,0.971374,0.946691,0.885017,0.761905,0.789474,0.612245,0.612245,3,1,0.015,West,1,0,1,0,0,0,0
Virginia Tech,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37931,0.0,0.0,0.94084,0.875,0.832753,0.843537,0.855263,0.755102,0.755102,3,1,0.0185,South,1,0,0,1,0,0,0
Stanford,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37931,0.0,0.0,0.98855,0.933824,0.89547,0.836735,0.776316,0.693878,0.693878,3,1,0.017,Midwest,1,0,0,0,1,0,0
Wake Forest,Selection Sunday,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517241,0.0,0.0,0.920802,0.863971,0.804878,0.829932,0.947368,0.877551,0.877551,4,1,0.0215,East,1,1,0,0,0,0,0
