id,name,abbrev,conference,power_conf,wins,losses,win_pct,conf_wins,conf_losses,streak,ap_rank,net_rank,trank,barthag,adj_oe,adj_de,adj_margin,adj_tempo,sos,elite_sos,ppg,opp_ppg,efg_pct,efg_d,tov_pct,tov_d,orb_pct,drb_pct,ft_rate,ft_rate_d,two_pt_pct,three_pt_pct,three_pt_d,blk_pct,stl_pct,avg_hgt,experience,seed_score,projected_seed,projected_region,prob_r64,prob_r32,prob_s16,prob_e8,prob_f4,prob_championship,prob_champion
130,Penn St.,PENNS,Selection Sunday,0,0,0,0,0,18,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,Hawaii,HAWAII,Selection Sunday,0,0,0,0,0,7,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,UC Irvine,UCIRV,Selection Sunday,0,0,0,0,0,10,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,CSUN,CSUN,Selection Sunday,0,0,0,0,0,12,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,UC San Diego,UCSAN,Selection Sunday,0,0,0,0,0,10,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,UC Santa Barbara,UCSAN,Selection Sunday,0,0,0,0,0,12,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,UC Davis,UCDAV,Selection Sunday,0,0,0,0,0,12,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Cal St. Fullerton,CALST,Selection Sunday,0,0,0,0,0,15,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Cal Poly,CALPO,Selection Sunday,0,0,0,0,0,18,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Long Beach St.,LONGB,Selection Sunday,0,0,0,0,0,22,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,UC Riverside,UCRIV,Selection Sunday,0,0,0,0,0,22,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,CSU Bakersfield,CSUBA,Selection Sunday,0,0,0,0,0,23,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,UNCW,UNCW,Selection Sunday,0,0,0,0,0,5,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Col. of Charleston,COL.O,Selection Sunday,0,0,0,0,0,10,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Hofstra,HOFSTR,Selection Sunday,0,0,0,0,0,10,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Monmouth,MONMOU,Selection Sunday,0,0,0,0,0,14,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,William & Mary,WILLIA,Selection Sunday,0,0,0,0,0,11,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,Drexel,DREXEL,Selection Sunday,0,0,0,0,0,15,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Stony Brook,STONY,Selection Sunday,0,0,0,0,0,14,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Towson,TOWSON,Selection Sunday,0,0,0,0,0,14,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Campbell,CAMPBE,Selection Sunday,0,0,0,0,0,17,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Hampton,HAMPTO,Selection Sunday,0,0,0,0,0,18,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Elon,ELON,Selection Sunday,0,0,0,0,0,17,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,N.C. A&T,N.C.A,Selection Sunday,0,0,0,0,0,19,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Northeastern,NORTHE,Selection Sunday,0,0,0,0,0,23,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Liberty,LIBERT,Selection Sunday,0,0,0,0,0,6,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Sam Houston,SAMHO,Selection Sunday,0,0,0,0,0,9,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Western Ky.,WESTER,Selection Sunday,0,0,0,0,0,12,,999,200,200,0.5,100.0,100.0,0.0,67.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,Not in field,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0
